train_loss,epoch,created_at,val_loss_lr,val_acc_lr,val_loss_hr,val_acc_hr
0.6452074646949768,0,2020-02-04 09:23:13.254056,,,,
,0,2020-02-04 09:23:51.165563,1.6156294345855713,0.5473684668540955,3.148249626159668,0.4952830374240875
0.07882926613092422,0,2020-02-04 09:23:51.447720,,,,
,0,2020-02-04 09:24:20.908379,0.42631614208221436,0.8815789818763733,0.9840004444122314,0.5872641801834106
0.16689425706863403,0,2020-02-04 09:24:21.184727,,,,
,0,2020-02-04 09:24:50.943119,0.31858667731285095,0.8868421316146851,0.7988901734352112,0.5495283007621765
0.9421617388725281,0,2020-02-04 09:24:51.204864,,,,
,0,2020-02-04 09:25:19.943201,0.32150939106941223,0.8736842274665833,0.6842952370643616,0.5660377740859985
0.12488970905542374,0,2020-02-04 09:25:20.208956,,,,
,0,2020-02-04 09:25:49.604091,0.3493676483631134,0.9000000357627869,0.6972874402999878,0.5707547068595886
0.1698741316795349,0,2020-02-04 09:25:49.875444,,,,
,0,2020-02-04 09:26:18.365328,0.43002891540527344,0.9026316404342651,0.6483150124549866,0.5966981053352356
0.1679764837026596,0,2020-02-04 09:26:18.618476,,,,
,0,2020-02-04 09:26:47.753978,0.3723992705345154,0.8921052813529968,0.9117464423179626,0.5919811129570007
0.35530710220336914,0,2020-02-04 09:26:48.036995,,,,
,0,2020-02-04 09:27:16.935597,0.32841309905052185,0.9000000357627869,1.0222678184509277,0.5683962106704712
0.6852937340736389,0,2020-02-04 09:27:17.193048,,,,
,0,2020-02-04 09:27:46.567359,0.29569384455680847,0.8894737362861633,0.784694492816925,0.5801886916160583
0.10708725452423096,0,2020-02-04 09:27:46.873158,,,,
,0,2020-02-04 09:28:16.587586,0.30687275528907776,0.9000000357627869,0.8237459659576416,0.6084905862808228
0.3563989996910095,0,2020-02-04 09:28:16.866972,,,,
,0,2020-02-04 09:28:46.235399,0.2934735417366028,0.8973684310913086,0.8533508777618408,0.573113203048706
0.393084853887558,0,2020-02-04 09:28:46.524387,,,,
,0,2020-02-04 09:29:15.581415,0.48374277353286743,0.6842105388641357,0.6396141648292542,0.625
0.598380982875824,0,2020-02-04 09:29:15.881398,,,,
,0,2020-02-04 09:29:45.033085,0.3254104256629944,0.9000000357627869,0.6358796954154968,0.5919811129570007
0.28317025303840637,0,2020-02-04 09:29:45.287258,,,,
,0,2020-02-04 09:30:14.397177,0.31085407733917236,0.8947368860244751,0.6254396438598633,0.6627358794212341
0.18958589434623718,0,2020-02-04 09:30:14.665837,,,,
,0,2020-02-04 09:30:43.818965,0.25067058205604553,0.9157894849777222,0.3529116213321686,0.8561320900917053
0.05665735527873039,0,2020-02-04 09:30:44.080757,,,,
,0,2020-02-04 09:31:12.972144,0.5072038769721985,0.8342105746269226,0.2408178597688675,0.900943398475647
